Wall time,Step,Value
1571419407.818796,10001,-20.090909957885742
1571419510.740447,20001,-20.095237731933594
1571419614.673776,30001,-20.21875
1571419717.1572,40001,-20.255813598632812
1571419820.888461,50001,-20.226415634155273
1571420358.9710548,60001,-20.265625
1571420902.5004656,70001,-20.253334045410156
1571421440.3613005,80001,-20.279069900512695
1571421960.0005114,90001,-20.257732391357422
1571422482.8309317,100001,-20.229999542236328
1571423001.5542493,110001,-20.239999771118164
1571423521.2887313,120001,-20.219999313354492
1571424041.5525339,130001,-20.229999542236328
1571424565.0005167,140001,-20.239999771118164
1571425092.3735993,150001,-20.260000228881836
1571425618.6184516,160001,-20.25
1571426141.702037,170001,-20.239999771118164
1571426665.3822997,180001,-20.229999542236328
1571427188.9067085,190001,-20.239999771118164
1571427712.6853123,200001,-20.25
1571428245.6870573,210001,-20.280000686645508
1571428773.3375251,220001,-20.200000762939453
1571429305.493717,230001,-20.200000762939453
1571429843.2488642,240001,-20.139999389648438
1571430378.9214532,250001,-20.1200008392334
1571430914.5764077,260001,-20.100000381469727
1571431450.9109986,270001,-20.149999618530273
1571431989.495989,280001,-20.170000076293945
1571432522.08771,290001,-20.139999389648438
1571433055.0419908,300001,-20.079999923706055
1571433604.7060378,310001,-20.049999237060547
1571434162.9757845,320001,-20.049999237060547
1571434725.04619,330001,-20.010000228881836
1571435286.3112493,340001,-20.020000457763672
1571435838.6935897,350001,-20.020000457763672
1571436383.659612,360001,-20.049999237060547
1571436925.9013774,370001,-19.989999771118164
1571437462.838072,380001,-19.90999984741211
1571438010.554746,390001,-19.860000610351562
1571438558.8247664,400001,-19.829999923706055
1571439110.4780076,410001,-19.860000610351562
1571439657.4047172,420001,-19.8700008392334
1571440207.9491146,430001,-19.81999969482422
1571440753.8935454,440001,-19.739999771118164
1571441297.7488112,450001,-19.579999923706055
1571441848.05898,460001,-19.520000457763672
1571442398.637552,470001,-19.389999389648438
1571442944.8561597,480001,-19.280000686645508
1571443491.3256948,490001,-19.15999984741211
1571444040.9397001,500001,-19.049999237060547
1571444591.0000827,510001,-18.969999313354492
1571445163.941366,520001,-18.84000015258789
1571445741.389952,530001,-18.709999084472656
1571446313.4440906,540001,-18.610000610351562
1571446890.5323622,550001,-18.559999465942383
1571447463.3543909,560001,-18.559999465942383
1571448030.6132429,570001,-18.450000762939453
1571448594.0974736,580001,-18.450000762939453
1571449155.6438596,590001,-18.420000076293945
1571449717.1047187,600001,-18.31999969482422
1571450281.1642795,610001,-18.139999389648438
1571450840.763746,620001,-18.09000015258789
1571451403.9715726,630001,-18.059999465942383
1571451964.674803,640001,-17.90999984741211
1571452525.4770982,650001,-17.860000610351562
1571453085.386267,660001,-17.84000015258789
1571453645.9053435,670001,-17.739999771118164
1571454201.930574,680001,-17.59000015258789
1571454761.4716723,690001,-17.440000534057617
1571455323.0416045,700001,-17.3799991607666
1571455885.7144132,710001,-17.229999542236328
1571456456.1092346,720001,-17.079999923706055
1571457029.326902,730001,-16.8700008392334
1571457606.5062776,740001,-16.65999984741211
1571458181.8295543,750001,-16.3799991607666
1571458751.4261725,760001,-16.190000534057617
1571459322.2318935,770001,-16.06999969482422
1571459900.4812572,780001,-15.899999618530273
1571460482.622289,790001,-15.680000305175781
1571461055.52169,800001,-15.489999771118164
1571461627.541795,810001,-15.350000381469727
1571462200.8943968,820001,-15.1899995803833
1571462772.0035539,830001,-15.039999961853027
1571463331.702354,840001,-14.859999656677246
1571463894.3841724,850001,-14.75
1571464473.7600741,860001,-14.6899995803833
1571465048.916635,870001,-14.579999923706055
1571465621.7827706,880001,-14.34000015258789
1571466196.2840397,890001,-14.069999694824219
1571466779.3084743,900001,-13.859999656677246
1571467356.8799267,910001,-13.680000305175781
1571467931.1254938,920001,-13.649999618530273
1571468511.1479335,930001,-13.579999923706055
1571469088.7731464,940001,-13.420000076293945
1571469668.7888799,950001,-13.319999694824219
1571470247.5788264,960001,-12.989999771118164
1571470827.7296543,970001,-12.699999809265137
1571471401.648759,980001,-12.649999618530273
1571471990.053041,990001,-12.449999809265137
1571472575.320405,1000001,-12.359999656677246
1571473156.6893606,1010001,-12.300000190734863
1571473740.5428119,1020001,-12.149999618530273
1571474325.5540352,1030001,-11.8100004196167
1571474902.8749352,1040001,-11.539999961853027
1571475480.417556,1050001,-11.300000190734863
1571476053.851206,1060001,-11.010000228881836
1571476623.8971715,1070001,-10.550000190734863
1571477192.5695252,1080001,-10.260000228881836
1571477757.759705,1090001,-10.039999961853027
1571478313.425836,1100001,-9.729999542236328
1571478869.7708936,1110001,-9.640000343322754
1571479446.7238483,1120001,-9.199999809265137
1571480022.6305275,1130001,-8.619999885559082
1571480607.4847696,1140001,-8.260000228881836
1571481187.5626228,1150001,-7.96999979019165
1571481764.893831,1160001,-7.840000152587891
1571482348.0913591,1170001,-7.420000076293945
1571482919.3248477,1180001,-7.260000228881836
1571483500.4429774,1190001,-6.849999904632568
1571484081.900223,1200001,-6.619999885559082
1571484653.146481,1210001,-6.28000020980835
1571485225.851636,1220001,-5.619999885559082
1571485800.6175578,1230001,-5.28000020980835
1571486376.618803,1240001,-4.980000019073486
1571486949.8990974,1250001,-4.809999942779541
1571487514.9516523,1260001,-4.449999809265137
1571488077.3366232,1270001,-4.190000057220459
1571488635.5460877,1280001,-3.7799999713897705
1571489197.5939415,1290001,-3.1600000858306885
1571489753.8742096,1300001,-2.8299999237060547
1571490307.3087492,1310001,-2.700000047683716
1571490868.2381766,1320001,-2.299999952316284
1571491425.101398,1330001,-1.6799999475479126
1571491979.2818997,1340001,-1.340000033378601
1571492532.9204419,1350001,-0.7400000095367432
1571493089.4089026,1360001,-0.4399999976158142
1571493642.0874698,1370001,-0.2800000011920929
1571494194.0331156,1380001,-0.18000000715255737
1571494766.3825858,1390001,0.10999999940395355
1571495336.6876178,1400001,0.4099999964237213
1571495911.365128,1410001,0.8500000238418579
1571496489.9925451,1420001,1.600000023841858
1571497061.5453463,1430001,1.850000023841858
1571497634.1183906,1440001,2.2899999618530273
1571498206.892822,1450001,2.9700000286102295
1571498782.1476378,1460001,3.440000057220459
1571499361.7862833,1470001,4.090000152587891
1571499935.0686507,1480001,4.889999866485596
1571500498.5165167,1490001,5.190000057220459
1571501067.9019182,1500001,5.650000095367432
1571501634.999189,1510001,6.059999942779541
1571502209.7684295,1520001,6.420000076293945
1571502782.1196387,1530001,6.829999923706055
1571503354.1099715,1540001,7.230000019073486
1571503931.0259202,1550001,8.020000457763672
1571504499.4678714,1560001,8.300000190734863
