Wall time,Step,Value
1571341902.8166952,10001,-20.090909957885742
1571341934.4365063,20001,-20.095237731933594
1571341980.9491732,30001,-20.21875
1571342024.6099956,40001,-20.255813598632812
1571342067.6311116,50001,-20.226415634155273
1571342336.5727115,60001,-20.30769157409668
1571342660.0420914,70001,-20.328947067260742
1571342988.2078063,80001,-20.356321334838867
1571343312.1560223,90001,-20.37755012512207
1571343634.4013076,100001,-20.399999618530273
1571343952.6854897,110001,-20.440000534057617
1571344272.390939,120001,-20.440000534057617
1571344591.0215662,130001,-20.40999984741211
1571344925.4733913,140001,-20.350000381469727
1571345277.3337436,150001,-20.34000015258789
1571345585.3037534,160001,-20.360000610351562
1571345930.1607819,170001,-20.309999465942383
1571346455.9039695,180001,-20.350000381469727
1571346994.4039533,190001,-20.290000915527344
1571347503.2360344,200001,-20.329999923706055
1571347988.181024,210001,-20.31999969482422
1571348468.661534,220001,-20.270000457763672
1571348956.5832572,230001,-20.389999389648438
1571349441.6194685,240001,-20.350000381469727
1571349893.213436,250001,-20.34000015258789
1571350292.4962056,260001,-20.350000381469727
1571350781.7749422,270001,-20.309999465942383
1571351122.4214177,280001,-20.34000015258789
1571351477.5565288,290001,-20.270000457763672
1571351902.1544647,300001,-20.209999084472656
1571352330.1979063,310001,-20.229999542236328
1571352750.2336411,320001,-20.219999313354492
1571353087.3934517,330001,-20.170000076293945
1571353428.9924848,340001,-20.1299991607666
1571353768.5795796,350001,-20.1200008392334
1571354103.8780897,360001,-20.079999923706055
1571354449.0092192,370001,-20.030000686645508
1571354890.2576873,380001,-20.020000457763672
1571355609.9264057,390001,-20.0
1571356240.332736,400001,-20.020000457763672
1571356940.5384536,410001,-20.049999237060547
1571357456.9014256,420001,-20.040000915527344
1571358166.9307456,430001,-20.040000915527344
1571358596.2480726,440001,-20.040000915527344
1571358878.59559,450001,-19.979999542236328
1571359477.2196345,460001,-19.920000076293945
1571360022.3285797,470001,-19.93000030517578
1571360315.6703224,480001,-19.920000076293945
1571360597.7743275,490001,-19.889999389648438
1571360880.552324,500001,-19.81999969482422
1571361163.1540792,510001,-19.700000762939453
1571361445.8797865,520001,-19.610000610351562
1571361725.69035,530001,-19.469999313354492
1571362006.4949613,540001,-19.399999618530273
1571362288.3740058,550001,-19.270000457763672
1571362571.7699447,560001,-19.139999389648438
1571362855.78134,570001,-19.079999923706055
1571363513.283086,580001,-18.940000534057617
1571363946.5163934,590001,-18.81999969482422
1571364360.173154,600001,-18.719999313354492
1571365151.8934295,610001,-18.600000381469727
1571365481.2390552,620001,-18.510000228881836
1571366129.6313746,630001,-18.3700008392334
1571366813.40565,640001,-18.299999237060547
1571367543.400804,650001,-18.25
1571368081.321069,660001,-18.149999618530273
1571368445.6664188,670001,-18.020000457763672
1571368737.3691127,680001,-17.729999542236328
1571369029.033067,690001,-17.549999237060547
1571369318.4048605,700001,-17.3799991607666
1571369609.9737651,710001,-17.229999542236328
1571369899.394332,720001,-16.989999771118164
1571370188.7407026,730001,-16.829999923706055
1571370489.8586645,740001,-16.799999237060547
1571370782.1611874,750001,-16.649999618530273
1571371075.846769,760001,-16.540000915527344
1571371371.3011568,770001,-16.399999618530273
1571371670.053813,780001,-16.229999542236328
1571371969.229899,790001,-16.079999923706055
1571372268.7514517,800001,-15.989999771118164
1571372866.1507444,810001,-15.800000190734863
1571373531.4654348,820001,-15.6899995803833
1571373972.6709843,830001,-15.739999771118164
1571374275.8039052,840001,-15.539999961853027
1571374587.1969588,850001,-15.329999923706055
1571375281.4431298,860001,-15.170000076293945
1571375605.5591285,870001,-15.069999694824219
1571375909.6167417,880001,-15.09000015258789
1571376213.7123487,890001,-15.130000114440918
