Wall time,Step,Value
1571611367.0871034,10001,-236.6603546142578
1571611390.434403,20001,-207.95101928710938
1571611425.4019356,30001,-184.5272216796875
1571611462.4441261,40001,-169.01959228515625
1571611509.2604766,50001,-148.59902954101562
1571611545.5795088,60001,-137.7910919189453
1571611580.359351,70001,-122.88445281982422
1571611611.868679,80001,-83.3594970703125
1571611641.033636,90001,-48.692264556884766
1571611671.3471253,100001,-36.48350524902344
1571611708.5823934,110001,-3.758741617202759
1571611735.762285,120001,31.206655502319336
1571611768.6019266,130001,47.996734619140625
1571611798.490206,140001,60.788753509521484
1571611828.9864624,150001,85.98820495605469
1571611859.7978659,160001,98.60047912597656
1571611891.261688,170001,87.7703857421875
1571611918.6476445,180001,91.49092864990234
1571611945.8143141,190001,97.2104263305664
1571611977.336951,200001,89.2728271484375
1571612004.2709813,210001,93.252197265625
1571612032.7607641,220001,110.45008850097656
1571612060.8785355,230001,110.07103729248047
1571612088.681196,240001,126.86507415771484
1571612114.4486308,250001,135.70310974121094
1571612136.8166897,260001,164.06031799316406
1571612162.5924108,270001,160.95394897460938
1571612187.7379057,280001,143.11624145507812
1571612210.9151218,290001,138.310546875
1571612236.4531522,300001,138.94017028808594
1571612260.886377,310001,128.0666961669922
1571612283.4300528,320001,122.76182556152344
1571612304.706881,330001,124.9688720703125
1571612327.1276226,340001,132.23977661132812
1571612351.9754543,350001,128.03089904785156
1571612372.490063,360001,101.81550598144531
1571612392.4795177,370001,81.69281005859375
1571612413.3274999,380001,125.51921081542969
1571612432.92282,390001,120.96762084960938
1571612453.6649845,400001,122.72706604003906
1571612473.456337,410001,131.18115234375
1571612492.746251,420001,156.79273986816406
1571612512.0174382,430001,147.66404724121094
1571612531.633182,440001,153.85824584960938
1571612551.2059612,450001,159.5677947998047
1571612571.4854736,460001,176.306396484375
1571612592.1040845,470001,169.15061950683594
1571612614.297729,480001,149.05068969726562
1571612640.9173121,490001,116.43865203857422
