Wall time,Step,Value
1571309886.855676,600001,-18.790000915527344
1571310068.6054075,610001,-18.65999984741211
1571310252.2987518,620001,-18.549999237060547
1571310436.3107243,630001,-18.3700008392334
1571310619.6728785,640001,-18.1299991607666
1571310808.9224818,650001,-18.040000915527344
1571310998.347295,660001,-17.940000534057617
1571311185.1040301,670001,-17.75
1571311372.9300582,680001,-17.6299991607666
1571311559.3584127,690001,-17.459999084472656
1571311757.5139945,700001,-17.25
1571311945.4863095,710001,-17.149999618530273
1571312133.597804,720001,-17.1299991607666
1571312323.206915,730001,-17.020000457763672
1571312514.6648083,740001,-17.010000228881836
1571312704.7203565,750001,-16.709999084472656
1571312895.8768086,760001,-16.579999923706055
1571313085.8212874,770001,-16.31999969482422
1571313276.7142143,780001,-16.200000762939453
1571313469.8483043,790001,-16.030000686645508
1571313668.4598987,800001,-15.880000114440918
1571313869.6738126,810001,-15.760000228881836
1571314066.670184,820001,-15.619999885559082
1571314266.7939298,830001,-15.539999961853027
1571314467.5019126,840001,-15.489999771118164
1571314668.3957648,850001,-15.4399995803833
1571314869.1431875,860001,-15.34000015258789
1571315072.411474,870001,-15.25
1571315275.161238,880001,-15.0600004196167
1571315476.2981348,890001,-15.09000015258789
1571315685.4143941,900001,-15.170000076293945
1571315890.4485643,910001,-15.1899995803833
1571316094.4723268,920001,-15.130000114440918
1571316300.3787127,930001,-14.850000381469727
1571316506.1161385,940001,-14.770000457763672
1571316713.5619812,950001,-14.59000015258789
1571316920.9962895,960001,-14.449999809265137
1571317127.439567,970001,-14.430000305175781
1571317334.38339,980001,-14.460000038146973
1571317546.3585818,990001,-14.420000076293945
1571317759.9929414,1000001,-14.229999542236328
1571317974.252219,1010001,-13.899999618530273
1571318189.2018948,1020001,-13.920000076293945
1571318404.8445487,1030001,-13.800000190734863
1571318619.5095108,1040001,-13.880000114440918
1571318833.0927389,1050001,-13.859999656677246
1571319047.0155783,1060001,-13.800000190734863
1571319260.220469,1070001,-13.569999694824219
1571319473.7353358,1080001,-13.390000343322754
1571319686.3149214,1090001,-13.069999694824219
1571319898.9895625,1100001,-12.90999984741211
1571320112.3118165,1110001,-12.90999984741211
1571320326.3015485,1120001,-12.779999732971191
1571320538.9804041,1130001,-12.579999923706055
1571320752.0776489,1140001,-12.15999984741211
1571320965.319399,1150001,-11.84000015258789
1571321177.7990642,1160001,-11.680000305175781
1571321387.3976939,1170001,-11.569999694824219
1571321597.4731853,1180001,-11.329999923706055
1571321805.7633972,1190001,-11.1899995803833
1571322014.9813466,1200001,-10.869999885559082
1571322222.5719855,1210001,-10.619999885559082
1571322431.9764028,1220001,-10.529999732971191
1571322644.1052625,1230001,-10.510000228881836
1571322853.417978,1240001,-10.329999923706055
1571323062.9256473,1250001,-10.350000381469727
1571323271.663121,1260001,-10.180000305175781
1571323481.58768,1270001,-10.239999771118164
1571323688.0697918,1280001,-10.350000381469727
1571323893.4309368,1290001,-10.010000228881836
1571324100.1405752,1300001,-9.880000114440918
1571324309.4342573,1310001,-9.65999984741211
1571324517.88213,1320001,-9.449999809265137
1571324725.3199763,1330001,-9.3100004196167
1571324934.4455483,1340001,-9.130000114440918
1571325141.4624577,1350001,-9.109999656677246
1571325339.5378978,1360001,-9.100000381469727
1571325541.140555,1370001,-8.970000267028809
1571325741.0514216,1380001,-8.890000343322754
1571325943.6120906,1390001,-8.569999694824219
1571326146.9608183,1400001,-8.300000190734863
1571326347.14692,1410001,-8.210000038146973
1571326549.8055859,1420001,-7.840000152587891
1571326749.3469605,1430001,-7.679999828338623
1571326949.8531122,1440001,-7.590000152587891
1571327151.7208855,1450001,-7.610000133514404
1571327353.6313818,1460001,-7.429999828338623
1571327555.0452816,1470001,-7.059999942779541
1571327754.7922623,1480001,-6.550000190734863
1571327954.5485973,1490001,-6.329999923706055
1571328154.2738488,1500001,-6.170000076293945
1571328355.7791955,1510001,-6.090000152587891
1571328554.4765522,1520001,-6.010000228881836
1571328752.9978135,1530001,-5.71999979019165
1571328951.1766293,1540001,-5.46999979019165
1571329154.086636,1550001,-5.239999771118164
1571329361.6101012,1560001,-4.920000076293945
1571329569.58121,1570001,-4.659999847412109
1571329777.5631552,1580001,-4.139999866485596
1571329985.1105466,1590001,-3.8499999046325684
1571330192.3530035,1600001,-3.7300000190734863
1571330399.5176342,1610001,-3.390000104904175
1571330606.2393923,1620001,-3.009999990463257
1571330812.7666247,1630001,-2.4100000858306885
1571331020.5344691,1640001,-1.7200000286102295
1571331228.016432,1650001,-1.1799999475479126
1571331436.3205512,1660001,-0.8999999761581421
1571331645.3728096,1670001,0.07000000029802322
1571331854.3547707,1680001,0.949999988079071
1571332060.8047874,1690001,1.3300000429153442
1571332274.898396,1700001,1.8899999856948853
1571332482.0317173,1710001,2.2699999809265137
1571332687.160656,1720001,2.7300000190734863
1571332893.1005847,1730001,3.240000009536743
1571333102.4984267,1740001,3.7799999713897705
1571333315.7871578,1750001,4.539999961853027
1571333528.9238753,1760001,4.949999809265137
1571333742.9102306,1770001,5.320000171661377
1571333957.6631057,1780001,5.960000038146973
1571334170.2981806,1790001,6.429999828338623
