Wall time,Step,Value
1571339706.6683147,0,-137.69546508789062
1571339737.1733832,1,-109.02416229248047
1571339767.7204719,2,-101.34085845947266
1571339796.3268692,3,-90.48552703857422
1571339826.5908647,4,-77.74531555175781
1571339852.983046,5,-70.98168182373047
1571339878.1435225,6,-63.545654296875
1571339903.573809,7,-57.7436408996582
1571339929.3306997,8,-52.814659118652344
1571339955.8994043,9,-54.162498474121094
1571339980.8095665,10,-46.698787689208984
1571340001.7395928,11,-42.129032135009766
1571340019.5414073,12,-38.55592346191406
1571340039.4204943,13,-37.24246597290039
1571340058.230532,14,-33.19208526611328
1571340075.9155214,15,-31.322402954101562
1571340094.5680923,16,-28.368061065673828
1571340111.7161746,17,-25.641313552856445
1571340129.383496,18,-27.875722885131836
1571340148.3484948,19,-31.672222137451172
1571340166.6237476,20,-33.750938415527344
1571340184.9841418,21,-27.320722579956055
1571340204.196039,22,-21.08279800415039
1571340222.7489634,23,-18.57367706298828
1571340240.2490816,24,-15.640153884887695
1571340258.2463505,25,-16.63677406311035
1571340277.8784106,26,-14.043583869934082
1571340296.7641158,27,-8.398970603942871
1571340315.1194205,28,-4.338588714599609
1571340333.1028013,29,-1.7485369443893433
1571340352.2925377,30,-0.8979901671409607
1571340369.5636306,31,-0.13393394649028778
1571340387.4067998,32,-0.6387045979499817
1571340404.607223,33,4.906665802001953
1571340422.476339,34,9.513167381286621
1571340439.97424,35,14.942697525024414
1571340458.0037599,36,18.762378692626953
1571340475.2479734,37,22.741567611694336
1571340492.7779753,38,26.697065353393555
1571340510.0859957,39,31.144182205200195
1571340527.6316652,40,40.091156005859375
1571340545.7971768,41,43.078758239746094
1571340564.0012922,42,45.614261627197266
1571340581.8742714,43,52.46453094482422
1571340599.4477334,44,47.5454216003418
1571340618.0375888,45,58.90495300292969
1571340635.4837732,46,62.59317398071289
1571340653.5244157,47,69.19438171386719
1571340670.4922173,48,76.20984649658203
1571340688.1514313,49,66.42570495605469
1571340707.9763725,50,82.96428680419922
1571340726.9858055,51,68.77350616455078
1571340746.941498,52,65.15227508544922
1571340766.6333108,53,77.60584259033203
1571340785.4134717,54,81.2359390258789
1571340804.0742252,55,86.7607650756836
1571340822.6934137,56,85.44444274902344
1571340840.624926,57,89.51126098632812
1571340858.486663,58,95.75981140136719
1571340878.206269,59,100.84553527832031
1571340896.0373373,60,99.05838012695312
1571340914.9123209,61,110.52487182617188
1571340933.7810977,62,104.82300567626953
1571340952.1730235,63,105.65762329101562
1571340971.36156,64,102.1587142944336
1571340989.069544,65,94.68109130859375
1571341006.669485,66,104.31636810302734
1571341024.3312933,67,110.19851684570312
1571341041.6397786,68,115.77204132080078
1571341058.8456922,69,119.84771728515625
1571341077.1778948,70,126.46173858642578
1571341095.2548296,71,124.67779541015625
1571341115.0583825,72,121.58879852294922
1571341134.9056811,73,122.23762512207031
1571341154.8090804,74,113.31441497802734
1571341172.42184,75,121.02494049072266
1571341191.6605208,76,127.05426788330078
1571341209.6688929,77,131.19326782226562
1571341227.6338067,78,136.67633056640625
1571341248.889339,79,119.3023910522461
1571341266.7298675,80,116.02693176269531
1571341284.9538698,81,124.0414047241211
1571341304.094643,82,128.98980712890625
1571341322.8845184,83,133.13101196289062
1571341341.4895275,84,134.71585083007812
1571341360.4700866,85,141.36834716796875
1571341380.5860367,86,143.16139221191406
1571341398.3789039,87,139.3538360595703
1571341417.391374,88,135.22781372070312
1571341436.1410935,89,131.5206298828125
1571341455.105903,90,137.8926544189453
1571341472.1642265,91,147.31654357910156
1571341490.4633036,92,145.33677673339844
1571341509.018069,93,148.11517333984375
1571341528.0421596,94,156.60015869140625
1571341546.86138,95,150.6460723876953
1571341566.0865092,96,146.23353576660156
1571341584.2843444,97,139.44601440429688
1571341602.0817077,98,156.331787109375
1571341620.4310694,99,159.20953369140625
1571341639.1771696,100,156.2516326904297
1571341657.4475312,101,163.9110870361328
1571341677.5613122,102,159.6479034423828
1571341696.518024,103,163.24232482910156
1571341714.967297,104,165.87220764160156
1571341733.0313299,105,166.10227966308594
1571341752.155902,106,161.8912353515625
1571341770.5023134,107,149.2376708984375
1571341787.8563128,108,148.3502960205078
1571341807.2106404,109,148.10687255859375
1571341826.5432892,110,148.16336059570312
1571341844.7217844,111,152.7028045654297
1571341861.9721153,112,158.28114318847656
1571341878.5450048,113,161.05091857910156
1571341895.0615695,114,158.1111297607422
1571341911.392389,115,172.7556610107422
1571341927.8320568,116,175.17308044433594
1571341948.768769,117,168.62464904785156
1571341969.7259433,118,171.04058837890625
1571341990.6238174,119,166.2037353515625
1571342011.5285552,120,166.4239044189453
1571342031.8348186,121,166.1503143310547
1571342052.3268547,122,164.41481018066406
1571342074.9653652,123,158.98348999023438
1571342101.478341,124,167.3673858642578
1571342127.365812,125,170.50230407714844
1571342153.9796205,126,171.7247314453125
1571342180.6300054,127,181.27899169921875
1571342207.5539796,128,174.6125030517578
1571342233.8736708,129,176.41551208496094
1571342261.058334,130,173.2172393798828
1571342288.0562751,131,174.9412841796875
1571342314.0929055,132,177.52215576171875
1571342340.1227221,133,178.46929931640625
1571342366.1926346,134,173.1228485107422
1571342392.390587,135,160.11175537109375
1571342421.5505748,136,160.7802734375
1571342451.6357706,137,149.68963623046875
1571342481.1747751,138,152.4055633544922
1571342510.4130306,139,140.70631408691406
1571342540.039659,140,140.04542541503906
1571342570.0431201,141,128.7203369140625
1571342599.9925141,142,130.86253356933594
1571342629.3816414,143,138.0739288330078
1571342659.3795698,144,158.55270385742188
1571342688.2185626,145,169.8441925048828
1571342717.4727652,146,159.4054412841797
1571342746.644318,147,158.35841369628906
1571342775.8535912,148,153.5078887939453
1571342804.2326071,149,164.03591918945312
