Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
52.93386173248291	0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-3.8382295e-06	-3.8382295e-06	-0.6960985	0.05072383	0.0025292928	0.0012196052	0.6963514	30049	30049
129.02052927017212	1	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-2.507168e-06	-2.507168e-06	-0.69052196	0.04300158	0.0016249313	0.0006744289	0.69068444	30049	60098
178.74472832679749	2	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-5.255129e-06	-5.255129e-06	-0.6968062	0.032007303	0.0036348267	0.0031078663	0.6971697	30049	90147
226.42892408370972	3	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0002978598	0.0002978598	-0.5720411	0.3715474	0.5030074	0.2808828	0.6223418	30049	120196
273.17818117141724	4	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.000566065	0.000566065	-0.5219174	0.46052498	0.74734473	0.2656276	0.5966519	30049	150245
316.83065819740295	5	5.447236	6.9712963	26.0	0.0	151.0	0.0	0.03607441	0.03607441	0.03791127	0.03791127	-0.24522242	0.42542326	1.2262443	0.42766324	0.36784685	30049	180294
362.0510814189911	6	15.231155	7.737323	32.0	0.0	151.0	0.0	0.10086858	0.10086858	0.10226761	0.10226761	-0.47668305	0.74208003	1.0159032	0.45539013	0.5782734	30049	210343
413.1758990287781	7	19.683416	6.6751833	37.0	1.0	151.0	0.0	0.13035375	0.13035375	0.1316391	0.1316391	-0.35235804	0.64747137	1.0842564	0.5227166	0.46078366	30049	240392
459.12100481987	8	20.984924	6.152564	40.0	5.0	151.0	0.0	0.13897301	0.13897301	0.14001858	0.14001858	-0.39777696	0.46339205	1.0970459	0.72329277	0.5074815	30049	270441
505.2556607723236	9	23.115578	6.627316	41.0	0.0	151.0	0.0	0.1530833	0.1530833	0.15399145	0.15399145	-0.45657218	0.51733816	0.87262386	0.27166823	0.5438346	30049	300490
552.6358857154846	10	24.246231	6.367685	39.0	1.0	151.0	0.0	0.16057107	0.16057107	0.16119704	0.16119704	-0.46282887	0.36600235	0.92263055	0.53437775	0.5550919	30049	330539
598.4331369400024	11	24.14573	6.763326	38.0	0.0	151.0	0.0	0.1599055	0.1599055	0.16088705	0.16088705	-0.5137296	0.55888504	0.9829232	0.5694573	0.61202186	30049	360588
644.5451829433441	12	24.603016	7.381097	40.0	2.0	151.0	0.0	0.16293387	0.16293387	0.16406418	0.16406418	-0.45439026	0.5909876	1.3063662	0.50190467	0.5850269	30049	390637
689.5200345516205	13	27.18593	7.2956657	44.0	0.0	151.0	0.0	0.18003927	0.18003927	0.18150277	0.18150277	-0.3765535	0.54758954	1.3385062	0.82107264	0.5104041	30049	420686
733.0049619674683	14	31.542713	5.8821707	44.0	16.0	151.0	0.0	0.20889214	0.20889214	0.21043198	0.21043198	-0.30236828	0.44531512	1.2473024	0.5989676	0.42709857	30049	450735
780.5694198608398	15	34.115578	6.0559955	46.0	16.0	151.0	0.0	0.22593097	0.22593097	0.2273171	0.2273171	-0.3015762	0.45715657	1.1046009	0.4380872	0.41203627	30049	480784
818.6145603656769	16	35.809044	6.021212	49.0	11.0	151.0	0.0	0.23714599	0.23714599	0.23840192	0.23840192	-0.3410346	0.4674261	1.1817632	0.68240565	0.45921093	30049	510833
865.2700045108795	17	36.0402	5.895948	50.0	0.0	151.0	0.0	0.23867683	0.23867683	0.23989974	0.23989974	-0.32266712	0.5517322	1.0630612	0.61250156	0.42897326	30049	540882
909.2603785991669	18	35.507538	6.133252	49.0	15.0	151.0	0.0	0.23514925	0.23514925	0.23617753	0.23617753	-0.4191809	0.5292638	1.1247575	0.8006751	0.5316567	30049	570931
949.9529469013214	19	35.507538	5.869493	48.0	11.0	151.0	0.0	0.23514925	0.23514925	0.23602074	0.23602074	-0.4779091	0.5796476	0.88888824	0.23848641	0.56679785	30049	600980
992.1347804069519	20	34.904522	5.6092105	48.0	16.0	151.0	0.0	0.23115578	0.23115578	0.23185274	0.23185274	-0.4440272	0.40733987	1.0352228	0.7811761	0.5475495	30049	631029
1039.3236529827118	21	34.351757	6.632256	48.0	13.0	151.0	0.0	0.22749509	0.22749509	0.22841887	0.22841887	-0.5073912	0.53562814	0.90962166	0.59528995	0.5983533	30049	661078
1088.3253734111786	22	32.201004	6.709312	50.0	11.0	151.0	0.0	0.2132517	0.2132517	0.21368587	0.21368587	-0.50104874	0.37463364	1.0276604	0.9401614	0.6038148	30049	691127
1133.0087196826935	23	27.407036	8.062579	46.0	2.0	151.0	0.0	0.18150355	0.18150355	0.18213965	0.18213965	-0.5543363	0.41142088	0.9769404	1.0275474	0.65203035	30049	721176
1178.1785762310028	24	14.783919	10.232893	34.0	0.0	151.0	0.0	0.09790675	0.09790675	0.099030696	0.099030696	-0.5098262	0.5827663	0.9500543	0.5066698	0.6048316	30049	751225
1222.3563101291656	25	2.8894472	6.4673777	33.0	0.0	151.0	0.0	0.019135412	0.019135412	0.020820044	0.020820044	-0.2705468	0.5820367	1.008575	0.286948	0.3714043	30049	781274
1267.362854719162	26	0.015075377	0.21212932	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	0.001956618	0.001956618	-0.26929152	0.5411205	1.0428071	0.20621279	0.37357223	30049	811323
1315.0842411518097	27	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0020296888	0.0020296888	-0.2170588	0.502525	1.0678277	0.2110618	0.32384157	30049	841372
1359.7435493469238	28	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.001892936	0.001892936	-0.228631	0.54005605	1.0130166	0.21918555	0.3299327	30049	871421
1405.3478677272797	29	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0021485505	0.0021485505	-0.23973034	0.66628754	1.0232276	0.20219699	0.34205312	30049	901470
1450.2002563476562	30	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0021134526	0.0021134526	-0.3384406	0.79929566	1.0452183	0.22387846	0.44296244	30049	931519
1495.4271457195282	31	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0018393252	0.0018393252	-0.28474766	0.5384261	0.99652964	0.28741622	0.38440067	30049	961568
1539.097157716751	32	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0022619586	0.0022619586	-0.19086735	0.48241812	1.0334961	0.16542165	0.294217	30049	991617
1581.764484167099	33	0.015075377	0.21212934	3.0	0.0	151.0	0.0	9.9836936e-05	9.9836936e-05	0.0019314692	0.0019314692	-0.32440037	0.6299918	1.0419592	0.46080643	0.4285963	30049	1021666
1629.6555168628693	34	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00236324	0.00236324	-0.23731263	0.63479954	1.1765511	0.73595184	0.35496774	30049	1051715
1673.7917697429657	35	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0020185632	0.0020185632	-0.24931017	0.5056104	1.1157444	0.7177272	0.3608846	30049	1081764
1718.5474565029144	36	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0018083862	0.0018083862	-0.28859594	0.55017674	0.9930279	0.19230436	0.38789874	30049	1111813
