Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
5.577072381973267	0	-0.4236845	0.09647991	-0.26298305	-0.67793393	21.0	0.0	-0.020175453	-0.020175453	-0.016658146	-0.016658146	1008	1008
8.31816816329956	1	-0.41315815	0.074672915	-0.25859517	-0.5816227	21.0	0.0	-0.019674195	-0.019674195	-0.015283763	-0.015283763	1008	2016
9.783278226852417	2	-0.42657313	0.09305506	-0.23221758	-0.661992	21.0	0.0	-0.020313006	-0.020313006	-0.01582198	-0.01582198	1008	3024
13.691441059112549	3	-0.42252922	0.08106114	-0.20534982	-0.58231074	21.0	0.0	-0.020120438	-0.020120438	-0.016348442	-0.016348442	1008	4032
19.532386541366577	4	-0.40859857	0.09059738	-0.23714177	-0.6225774	21.0	0.0	-0.019457074	-0.019457074	-0.015350337	-0.015350337	1008	5040
24.651179552078247	5	-0.41824463	0.08024483	-0.24670288	-0.61957544	21.0	0.0	-0.01991641	-0.01991641	-0.014802434	-0.014802434	1008	6048
32.681620359420776	6	-0.38795558	0.08197022	-0.21545537	-0.55003256	21.0	0.0	-0.018474076	-0.018474076	-0.012678413	-0.012678413	1008	7056
42.78498673439026	7	-0.43132058	0.081141844	-0.25251612	-0.58946496	21.0	0.0	-0.020539071	-0.020539071	-0.014291146	-0.014291146	1008	8064
56.53823685646057	8	-0.40283695	0.07339052	-0.2392757	-0.6288925	21.0	0.0	-0.019182712	-0.019182712	-0.013672212	-0.013672212	1008	9072
70.97802519798279	9	-0.42872417	0.09240907	-0.2624297	-0.6355268	21.0	0.0	-0.020415436	-0.020415436	-0.012357522	-0.012357522	1008	10080
81.23328256607056	10	-0.43439218	0.10764199	-0.23376954	-0.6485164	21.0	0.0	-0.020685343	-0.020685343	-0.011606808	-0.011606808	1008	11088
96.24668669700623	11	-0.4328088	0.0859626	-0.284395	-0.6337795	21.0	0.0	-0.020609943	-0.020609943	-0.012197349	-0.012197349	1008	12096
112.31149911880493	12	-0.465749	0.11184189	-0.20144047	-0.69961125	21.0	0.0	-0.022178521	-0.022178521	-0.011737769	-0.011737769	1008	13104
127.84761381149292	13	-0.45055833	0.09409646	-0.25655296	-0.7305226	21.0	0.0	-0.021455158	-0.021455158	-0.01150601	-0.01150601	1008	14112
144.57780718803406	14	-0.44466552	0.11276723	-0.1831282	-0.66216224	21.0	0.0	-0.021174548	-0.021174548	-0.010883072	-0.010883072	1008	15120
164.3489429950714	15	-0.47411704	0.08907145	-0.2569232	-0.63962346	21.0	0.0	-0.022577003	-0.022577003	-0.01096056	-0.01096056	1008	16128
184.97897815704346	16	-0.47922862	0.09853351	-0.3094565	-0.88380873	21.0	0.0	-0.02282041	-0.02282041	-0.0108889835	-0.0108889835	1008	17136
206.08889389038086	17	-0.5105764	0.14034261	-0.23191243	-0.8871081	21.0	0.0	-0.024313161	-0.024313161	-0.012112981	-0.012112981	1008	18144
229.8451554775238	18	-0.5121633	0.11494242	-0.28071353	-0.74731654	21.0	0.0	-0.024388727	-0.024388727	-0.011784757	-0.011784757	1008	19152
255.3495228290558	19	-0.5110356	0.12052385	-0.30868813	-0.78864884	21.0	0.0	-0.024335032	-0.024335032	-0.011975866	-0.011975866	1008	20160
282.0754346847534	20	-0.51899046	0.12849294	-0.3074313	-0.92219824	21.0	0.0	-0.024713831	-0.024713831	-0.012272843	-0.012272843	1008	21168
309.9066436290741	21	-0.52145624	0.10104303	-0.33341777	-0.7545336	21.0	0.0	-0.02483125	-0.02483125	-0.011686743	-0.011686743	1008	22176
339.40947794914246	22	-0.50369865	0.12092868	-0.3049145	-0.8457306	21.0	0.0	-0.02398565	-0.02398565	-0.011370787	-0.011370787	1008	23184
368.71191668510437	23	-0.5043681	0.10339357	-0.28724915	-0.7874129	21.0	0.0	-0.024017528	-0.024017528	-0.0112856	-0.0112856	1008	24192
397.6272020339966	24	-0.47796836	0.1028708	-0.23875664	-0.79215115	21.0	0.0	-0.022760397	-0.022760397	-0.010917795	-0.010917795	1008	25200
431.71586513519287	25	-0.45863953	0.13020971	-0.24838747	-0.86715007	21.0	0.0	-0.021839978	-0.021839978	-0.011046304	-0.011046304	1008	26208
463.97063875198364	26	-0.46526203	0.11064832	-0.22013994	-0.7853981	21.0	0.0	-0.022155333	-0.022155333	-0.010687028	-0.010687028	1008	27216
492.36586570739746	27	-0.4226698	0.099443264	-0.21453564	-0.65897423	21.0	0.0	-0.020127136	-0.020127136	-0.009721208	-0.009721208	1008	28224
521.4379839897156	28	-0.432034	0.084353596	-0.24355337	-0.6272811	21.0	0.0	-0.020573048	-0.020573048	-0.010014703	-0.010014703	1008	29232
