Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
6.069993734359741	0	-0.4157288	0.09710778	-0.27575007	-0.6888767	21.0	0.0	-0.01979661	-0.01979661	-0.015954154	-0.015954154	1008	1008
9.193243265151978	1	-0.43579546	0.07619197	-0.2704362	-0.6195594	21.0	0.0	-0.020752165	-0.020752165	-0.016450273	-0.016450273	1008	2016
12.670950174331665	2	-0.40221116	0.09587161	-0.20823021	-0.6263659	21.0	0.0	-0.01915291	-0.01915291	-0.014460598	-0.014460598	1008	3024
15.217047452926636	3	-0.40833893	0.09098579	-0.20951432	-0.5858125	21.0	0.0	-0.019444712	-0.019444712	-0.014538444	-0.014538444	1008	4032
20.6182804107666	4	-0.4023602	0.086918965	-0.25179613	-0.71571463	21.0	0.0	-0.01916001	-0.01916001	-0.013439416	-0.013439416	1008	5040
24.881141662597656	5	-0.37803254	0.088682435	-0.21954659	-0.55616987	21.0	0.0	-0.018001549	-0.018001549	-0.011916805	-0.011916805	1008	6048
33.38191270828247	6	-0.3837502	0.08473755	-0.2196658	-0.64175564	21.0	0.0	-0.01827382	-0.01827382	-0.011866128	-0.011866128	1008	7056
42.67541742324829	7	-0.42252126	0.08892899	-0.22405645	-0.6689013	21.0	0.0	-0.02012006	-0.02012006	-0.012410138	-0.012410138	1008	8064
55.12315845489502	8	-0.420508	0.10058759	-0.23758592	-0.7759519	21.0	0.0	-0.02002419	-0.02002419	-0.012170202	-0.012170202	1008	9072
67.70721554756165	9	-0.4252487	0.08604345	-0.25006852	-0.5888362	21.0	0.0	-0.020249939	-0.020249939	-0.010852549	-0.010852549	1008	10080
80.17309737205505	10	-0.4146341	0.08661895	-0.25337094	-0.6513185	21.0	0.0	-0.019744482	-0.019744482	-0.009689394	-0.009689394	1008	11088
94.88531446456909	11	-0.4406403	0.11862536	-0.1879043	-0.78378475	21.0	0.0	-0.02098287	-0.02098287	-0.009411352	-0.009411352	1008	12096
109.2755217552185	12	-0.47401872	0.10787099	-0.3128787	-0.79182875	21.0	0.0	-0.02257232	-0.02257232	-0.010034234	-0.010034234	1008	13104
126.79493284225464	13	-0.46087396	0.10347429	-0.28563157	-0.7110294	21.0	0.0	-0.021946382	-0.021946382	-0.010116125	-0.010116125	1008	14112
143.46977710723877	14	0.13880228	3.1328456	19.312908	-0.8270409	21.0	0.0	0.0066096312	0.0066096312	0.01980484	0.01980484	1008	15120
163.90463161468506	15	0.14730574	3.143411	19.424316	-0.7668442	21.0	0.0	0.0070145596	0.0070145596	0.021818522	0.021818522	1008	16128
185.17829942703247	16	1.5584799	6.3644648	29.3115	-0.75737405	21.0	0.0	0.07421334	0.07421334	0.089837275	0.089837275	1008	17136
207.3093764781952	17	5.2510443	13.600085	59.30581	-0.71593535	21.0	0.0	0.25004974	0.25004974	0.26633376	0.26633376	1008	18144
