Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
1.679621696472168	0	-0.44369307	0.08890037	-0.2586682	-0.6732393	21.0	0.0	-0.021128243	-0.021128243	-0.021128243	-0.021128243	1008	1008
2.424757480621338	1	-0.41792664	0.09306354	-0.24441844	-0.6803269	21.0	0.0	-0.019901268	-0.019901268	-0.019901268	-0.019901268	1008	2016
2.8499932289123535	2	-0.42410755	0.09811892	-0.23666322	-0.67155427	21.0	0.0	-0.020195598	-0.020195598	-0.020195598	-0.020195598	1008	3024
3.3134422302246094	3	-0.015409033	2.828383	19.36507	-0.6265603	21.0	0.0	-0.0007337644	-0.0007337644	-0.0007337644	-0.0007337644	1008	4032
3.7415902614593506	4	-0.03122147	2.8136215	19.244993	-0.7533694	21.0	0.0	-0.0014867366	-0.0014867366	-0.0014867366	-0.0014867366	1008	5040
4.17169451713562	5	-0.28253174	1.4084344	9.3389	-0.77790797	21.0	0.0	-0.013453892	-0.013453892	-0.013453892	-0.013453892	1008	6048
4.6305437088012695	6	0.33295003	3.9566495	19.334358	-0.984422	21.0	0.0	0.015854761	0.015854761	0.015854761	0.015854761	1008	7056
5.105849266052246	7	2.4182894	10.111167	49.099888	-0.73347723	21.0	0.0	0.11515664	0.11515664	0.11515664	0.11515664	1008	8064
5.5309977531433105	8	1.3187709	5.549878	28.978449	-0.79534346	21.0	0.0	0.06279862	0.06279862	0.06279862	0.06279862	1008	9072
5.966529130935669	9	7.913301	15.459366	59.170277	-0.86650825	21.0	0.0	0.37682387	0.37682387	0.37682387	0.37682387	1008	10080
6.400836706161499	10	10.99023	16.458862	49.0322	-0.8252462	21.0	0.0	0.5233443	0.5233443	0.5233443	0.5233443	1008	11088
6.8371970653533936	11	20.054352	21.522997	68.959526	-0.7910816	21.0	0.0	0.95496905	0.95496905	0.95496905	0.95496905	1008	12096
7.270566463470459	12	21.917353	23.678669	89.08653	-0.9025555	21.0	0.0	1.0436835	1.0436835	1.0436835	1.0436835	1008	13104
7.713443756103516	13	29.778267	24.801521	88.67939	-0.8149295	21.0	0.0	1.4180127	1.4180127	1.4180127	1.4180127	1008	14112
8.148172378540039	14	49.199173	27.262844	98.9117	-0.8998005	21.0	0.0	2.3428178	2.3428178	2.3428178	2.3428178	1008	15120
8.588564395904541	15	58.05483	21.302631	108.86368	9.112748	21.0	0.0	2.7645156	2.7645156	2.7645156	2.7645156	1008	16128
