Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
10.848995447158813	0	-0.44369307	0.08890037	-0.2586682	-0.6732393	21.0	0.0	-0.021128243	-0.021128243	-0.021038914	-0.021038914	-0.70064706	0.037943278	0.00044796203	7.149784e-05	0.70069194	1008	1008
19.373388051986694	1	-0.41782573	0.09304363	-0.24434641	-0.6802864	21.0	0.0	-0.019896466	-0.019896466	-0.019883964	-0.019883964	-0.69367623	0.041051976	0.00019643756	0.00037335916	0.6936959	1008	2016
22.644826889038086	2	-0.42379394	0.09789517	-0.23659633	-0.6707035	21.0	0.0	-0.020180665	-0.020180665	-0.020165144	-0.020165144	-0.6945688	0.016037231	0.0003499666	0.00034716594	0.6946038	1008	3024
26.202277898788452	3	-0.0150112705	2.8285546	19.366688	-0.625092	21.0	0.0	-0.0007148205	-0.0007148205	-0.0008854005	-0.0008854005	-0.6939117	0.02506346	0.00013685095	0.00014054327	0.6939254	1008	4032
30.274152994155884	4	-0.030679325	2.813809	19.246887	-0.7516688	21.0	0.0	-0.0014609193	-0.0014609193	-0.0015768182	-0.0015768182	-0.69261956	0.015690679	0.00023044038	0.00038155707	0.6926426	1008	5040
33.959874629974365	5	-0.2817638	1.4085767	9.34081	-0.77632105	21.0	0.0	-0.013417325	-0.013417325	-0.0135304	-0.0135304	-0.6925624	0.024097186	0.00070981146	0.0011405903	0.6926334	1008	6048
37.47331213951111	6	0.3338227	3.9568775	19.33631	-0.98238873	21.0	0.0	0.015896317	0.015896317	0.016101295	0.016101295	-0.6923128	0.0128223235	0.0002623896	0.00045536715	0.69233894	1008	7056
41.08447313308716	7	2.4191985	10.111468	49.102097	-0.7317445	21.0	0.0	0.11519992	0.11519992	0.11525022	0.11525022	-0.6928496	0.015843585	0.0001976943	7.9700134e-05	0.6928694	1008	8064
44.91519522666931	8	1.3197831	5.550209	28.980877	-0.7937568	21.0	0.0	0.06284681	0.06284681	0.063098714	0.063098714	-0.69346774	0.02434077	0.0006517975	0.0008259674	0.6935328	1008	9072
48.61884069442749	9	7.4979634	15.143588	59.172333	-0.8648166	21.0	0.0	0.35704592	0.35704592	0.3571465	0.3571465	-0.689976	0.033090197	0.0034816428	0.0047544874	0.6903242	1008	10080
52.34838008880615	10	10.366878	16.321074	49.034187	-0.8236622	21.0	0.0	0.4936608	0.4936608	0.49342793	0.49342793	-0.69333035	0.010639489	0.000121736186	0.0001431015	0.69334257	1008	11088
55.944204568862915	11	19.639807	21.629824	68.96242	-0.7892389	21.0	0.0	0.9352289	0.9352289	0.93519515	0.93519515	-0.69230515	0.0128900595	0.0002969913	0.00027700223	0.69233483	1008	12096
59.27194905281067	12	21.711088	23.832396	89.08911	-0.9001799	21.0	0.0	1.0338612	1.0338612	1.0342331	1.0342331	-0.6890534	0.036007203	0.0073458245	0.0077914773	0.6897879	1008	13104
