Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
56.45303297042847	0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	3.4990524e-06	3.4990524e-06	-0.69464386	0.04369045	0.0027913153	0.0010077043	0.694923	30049	30049
139.45698857307434	1	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	8.9141195e-06	8.9141195e-06	-0.68624854	0.044077847	0.0029049036	0.00072968914	0.68653893	30049	60098
186.559228181839	2	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	2.0957628e-05	2.0957628e-05	-0.6929444	0.031914644	0.0023352243	0.0018308848	0.69317794	30049	90147
258.8048219680786	3	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.4428839e-05	1.4428839e-05	-0.68682116	0.06383822	0.028069234	0.038966995	0.689628	30049	120196
311.34767413139343	4	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00024945568	0.00024945568	-0.6392897	0.273546	0.37258053	0.25191894	0.6765477	30049	150245
378.79704189300537	5	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00027132052	0.00027132052	-0.62778515	0.3832917	0.4082789	0.3015539	0.66861296	30049	180294
432.87257051467896	6	0.020100502	0.28283918	4.0	0.0	151.0	0.0	0.00013311591	0.00013311591	0.00043465104	0.00043465104	-0.6650636	0.42212734	0.46217537	0.42692816	0.71128106	30049	210343
498.64854979515076	7	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00034879512	0.00034879512	-0.5903414	0.3789566	0.45918697	0.41295922	0.63626003	30049	240392
564.7448635101318	8	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00033978422	0.00033978422	-0.62713706	0.38188383	0.6142615	0.3608999	0.6885632	30049	270441
622.6002914905548	9	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00036071375	0.00036071375	-0.6173891	0.39191243	0.58213675	0.29415774	0.6756028	30049	300490
689.297858953476	10	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00051793386	0.00051793386	-0.6312729	0.5172224	0.74313504	0.38092777	0.70558643	30049	330539
742.6939897537231	11	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00064563885	0.00064563885	-0.5250998	0.39024043	0.81404686	0.34761682	0.6065045	30049	360588
811.3701589107513	12	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0006871634	0.0006871634	-0.5668633	0.5475642	0.8024423	0.3943445	0.6471075	30049	390637
863.407196521759	13	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00054817606	0.00054817606	-0.50940603	0.44084635	0.8151266	0.3390606	0.5909187	30049	420686
930.7428753376007	14	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0009184699	0.0009184699	-0.49253738	0.56618583	0.88832784	0.29876366	0.5813701	30049	450735
984.7863326072693	15	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0011701324	0.0011701324	-0.4963503	0.6384302	1.04235	0.53631324	0.60058534	30049	480784
1055.9776012897491	16	0.2361809	2.4941132	32.0	0.0	151.0	0.0	0.0015641119	0.0015641119	0.0027762463	0.0027762463	-0.460251	0.5875963	1.0729873	0.43884262	0.56754977	30049	510833
1113.255014181137	17	0.12562814	1.7677451	25.0	0.0	151.0	0.0	0.00083197444	0.00083197444	0.0019167246	0.0019167246	-0.30881238	0.3674133	0.97489667	0.3996858	0.406302	30049	540882
1180.5905501842499	18	0.18592964	1.6747019	18.0	0.0	151.0	0.0	0.0012313222	0.0012313222	0.0024709534	0.0024709534	-0.37883314	0.58919364	0.9528416	0.32575768	0.47411734	30049	570931
1240.2477629184723	19	0.71356785	5.17176	63.0	0.0	151.0	0.0	0.004725615	0.004725615	0.0057919365	0.0057919365	-0.35938564	0.45169514	1.1027892	0.5114949	0.46966457	30049	600980
1301.7170543670654	20	0.22110553	3.1112301	44.0	0.0	151.0	0.0	0.0014642751	0.0014642751	0.0025427158	0.0025427158	-0.48765808	0.610548	1.0276709	0.43219885	0.5904252	30049	631029
1367.6572103500366	21	0.77386934	5.3962684	50.0	0.0	151.0	0.0	0.0051249624	0.0051249624	0.0061033866	0.0061033866	-0.58908653	0.7284305	0.9977177	0.5300042	0.68885833	30049	661078
1423.82701253891	22	0.5929648	3.4655738	27.0	0.0	151.0	0.0	0.0039269193	0.0039269193	0.0047333264	0.0047333264	-0.49332947	0.45518348	0.84552515	0.31647563	0.577882	30049	691127
1498.27800822258	23	1.4170854	7.6007085	62.0	0.0	151.0	0.0	0.009384672	0.009384672	0.010185657	0.010185657	-0.3991591	0.39008647	0.96075445	0.4606945	0.49523458	30049	721176
1550.0382828712463	24	0.51758796	4.4358563	52.0	0.0	151.0	0.0	0.0034277346	0.0034277346	0.004129926	0.004129926	-0.47045887	0.39705497	1.0366098	0.61824626	0.57411987	30049	751225
1619.7761433124542	25	0.6633166	4.461134	45.0	0.0	151.0	0.0	0.004392825	0.004392825	0.0051898514	0.0051898514	-0.5475052	0.56596386	0.7834778	0.3136387	0.62585294	30049	781274
1680.928176164627	26	1.1105528	7.180224	63.0	0.0	151.0	0.0	0.007354654	0.007354654	0.00794841	0.00794841	-0.5495868	0.5126044	0.788414	0.40759984	0.6284281	30049	811323
1745.7600095272064	27	0.6532663	3.6622999	34.0	0.0	151.0	0.0	0.004326267	0.004326267	0.0049351477	0.0049351477	-0.46541303	0.47253123	0.8807034	0.43915188	0.55348337	30049	841372
1806.3859069347382	28	0.2763819	2.2436948	20.0	0.0	151.0	0.0	0.0018303437	0.0018303437	0.0027118826	0.0027118826	-0.6187223	0.648909	0.7863087	0.43734938	0.69735324	30049	871421
1872.8679690361023	29	0.4924623	4.055977	42.0	0.0	151.0	0.0	0.0032613399	0.0032613399	0.0038588329	0.0038588329	-0.556419	0.5345794	0.7685319	0.4790621	0.63327223	30049	901470
1940.4531452655792	30	0.34170854	3.8415625	52.0	0.0	151.0	0.0	0.0022629704	0.0022629704	0.0028070412	0.0028070412	-0.5132557	0.43324924	0.7894107	0.51493925	0.59219676	30049	931519
1994.2304294109344	31	0.040201005	0.39898363	4.0	0.0	151.0	0.0	0.00026623183	0.00026623183	0.00086219446	0.00086219446	-0.5192449	0.4878475	0.7592069	0.48493886	0.5951656	30049	961568
2065.258597135544	32	0.2562814	3.6061988	51.0	0.0	151.0	0.0	0.0016972278	0.0016972278	0.0020387676	0.0020387676	-0.54050744	0.4158082	0.6754827	0.38007575	0.6080557	30049	991617
2118.936444044113	33	0.5125628	4.1113386	49.0	0.0	151.0	0.0	0.0033944556	0.0033944556	0.0038062748	0.0038062748	-0.59018314	0.4196192	0.6341554	0.3879674	0.6535987	30049	1021666
2187.715267419815	34	0.2512563	2.9119725	40.0	0.0	151.0	0.0	0.0016639489	0.0016639489	0.0021930677	0.0021930677	-0.5924377	0.43562594	0.7086489	0.37297073	0.66330254	30049	1051715
2243.5891437530518	35	0.4723618	4.282486	43.0	0.0	151.0	0.0	0.0031282238	0.0031282238	0.0036139218	0.0036139218	-0.50827765	0.49543747	0.82213485	0.5471727	0.5904912	30049	1081764
2310.677161693573	36	1.2060301	8.198097	68.0	0.0	151.0	0.0	0.007986954	0.007986954	0.008539475	0.008539475	-0.56433535	0.4251978	0.6879114	0.39239284	0.6331265	30049	1111813
